sno,vol,qno,question,question_image,option_1,option_1_image,option_2,option_2_image,option_3,option_3_image,option_4,option_4_image,answer,answer_image
1,Vol1,1,What is H2O?,,Water,,Oxygen,,Hydrogen,,Helium,,Water,
2,Vol1,2,What is $\alpha + \beta$?,,γ,,α+β,,δ,,θ,,α+β,
3,Vol1,3,Which gas is used in balloons?,,Oxygen,,Nitrogen,,Helium,,Carbon dioxide,,Helium,
4,Vol1,4,Identify the compound:,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Benzene-2D-skeletal.png/220px-Benzene-2D-skeletal.png,Benzene,,Methane,,Ethane,,Propane,,Benzene,
5,Vol1,5,What is NaCl?,,Salt,,Sugar,,Acid,,Base,,Salt,
6,Vol2,6,What is pH of pure water?,,5,,6,,7,,8,,7,
7,Vol2,7,Which is a noble gas?,,Hydrogen,,Oxygen,,Neon,,Nitrogen,,Neon,
8,Vol2,8,What is $\begin{vmatrix}1 & 2 \\ 3 & 4\end{vmatrix}$?,,-2,,2,,1,,0,,-2,
9,Vol2,9,Which metal is liquid at room temp?,,Iron,,Mercury,,Copper,,Zinc,,Mercury,
10,Vol2,10,What is CO2?,,Oxygen,,Carbon dioxide,,Carbon monoxide,,Hydrogen,,Carbon dioxide,